Strategy,Seed,Avg_KL_Divergence,Avg_TVD,Avg_MAE,Avg_Hellinger,Avg_RMSE,Avg_Weighted_KL,Avg_Weighted_Hellinger,Avg_Weighted_TVD,Inf_LogLoss,Inf_Hellinger,Inf_KL,Inf_Accuracy,Dec_Regret,Dec_Acc,JSON_AvgAbsDiff,JSON_AvgTVD,Avg_Time_Sec
Baseline MLE,0,4.9824405899239264e-05,0.0035374914001713737,0.002852927549448481,0.003021395377096349,0.003080075532691939,1.7479493402247465e-05,0.001915646586592869,0.00203419590508985,0.6378246926348481,0.005784248616639407,0.00028257188415472834,0.716,0.0,1.0,0.004006666666666664,0.00500833333333333,0.005982875823974609
Random Guess,0,0.234332733245489,0.29176896653201334,0.24942041864183814,0.22909727436080432,0.25906311468677473,0.2222716952091957,0.22132567004571044,0.27654599362388266,1.0384532894952974,0.28654095777151606,0.3902792996056825,0.414,4.001222234469419,0.508,0.17832666666666666,0.22290833333333335,0.0003781318664550781
Synthetic EM,0,0.1637815562247936,0.16353326364662787,0.16111278926582986,0.1356677060797794,0.1621019866554045,0.2413875136895206,0.22661260504969127,0.27567200221518395,0.857166427877145,0.20345125010368684,0.2338871894506668,0.58,2.085026109076125,0.522,0.04832666666666668,0.06040833333333334,4.125847101211548
Constraint Optimization,0,0.281887050452434,0.32085432658854507,0.2810623553304148,0.24413238288882208,0.286245939586226,0.23506589798261238,0.2262482077121024,0.28208565496498744,1.032260458835529,0.3092590766431927,0.393602220250141,0.392,5.114765452100309,0.274,0.16582,0.20727500000000001,0.022077322006225586
Iterative Proportional Fitting,0,0.24116930263088343,0.3010266419121161,0.26123467065398576,0.22607062926169763,0.266418254909797,0.4070008350863508,0.30542588757438266,0.3989297819760993,0.9377787324516395,0.2199865270870361,0.24951394267937702,0.512,2.319893629067147,0.612,0.10684666666666667,0.1335583333333333,0.0008878707885742188
MCMC Optimization,0,0.3841102173187594,0.3473186691231432,0.3024038263702772,0.26831711363598854,0.3167563987828011,0.5396812257749187,0.3037826911673034,0.3846295293622322,0.9773443939776401,0.25229976959762934,0.35396566975193694,0.438,4.012476280937978,0.444,0.14759333333333335,0.1844916666666667,18.863701105117798
Copula Optimization,0,0.12767919485276646,0.14794508918634633,0.14644076414818033,0.12097418151192607,0.14701866069207967,0.2066079873536769,0.2106414512773973,0.25726850591546235,0.8792572111048704,0.1882537190997065,0.2842011517059651,0.656,0.9414413683608508,0.8,0.011353333333333314,0.014191666666666642,60.94118022918701
Baseline MLE,1,0.00021234544493142706,0.006764273545981221,0.005892568647793678,0.00592805963295152,0.00608775004638058,0.00013049968490658857,0.0039864246269962775,0.004713509156480451,0.6561718782648092,0.006088157479137373,0.0002923479776159824,0.732,0.015474313894269344,0.912,0.004466666666666665,0.005583333333333332,0.005879878997802734
Random Guess,1,2.4763788512028295,0.5408808614446287,0.4640588598322511,0.4644518869008336,0.4850849253829937,0.7184595115403527,0.40583261077501054,0.5320488865874347,1.6200835279740275,0.4175143175613198,1.0015128180055426,0.32,6.568640582313433,0.222,0.365,0.45625,0.0003829002380371094
Synthetic EM,1,0.11755770365630043,0.14115164254132914,0.14023878358879374,0.11490299054683854,0.14047917980828953,0.17705148400913787,0.1976893250416393,0.24009443829042149,0.8021317218806527,0.178510847634445,0.18511008844958682,0.56,1.7952447171339232,0.552,0.0478,0.05975,0.30330491065979004
Constraint Optimization,1,0.26602742663212475,0.3150032071997209,0.27521123594159064,0.23875335490715122,0.28039482019740186,0.21825155213123676,0.21719857621340194,0.27110756138549996,1.0307348930781255,0.3108205053034269,0.4006708033600612,0.338,5.152154097997633,0.294,0.16706666666666667,0.20883333333333332,0.020586013793945312
Iterative Proportional Fitting,1,0.2420657111103657,0.3014599752454494,0.2616680039873191,0.2263783156548296,0.2668515882431303,0.4102598083875609,0.3067359886691521,0.4006308652367315,0.8696031685567751,0.21078005120047263,0.22945828672482066,0.518,2.236950486287439,0.64,0.10892000000000003,0.13615,0.0008978843688964844
MCMC Optimization,1,0.5541625569005246,0.4271004190031468,0.3682128800571796,0.32725184002970337,0.391975703223745,0.5505249434648309,0.2887377369325643,0.3700329552931426,1.183162581144029,0.30918302033271833,0.5674010662140008,0.41,5.3694613322895455,0.336,0.24700000000000003,0.30875,18.05137300491333
Copula Optimization,1,0.08933856320216534,0.14101823145297113,0.13785588982447047,0.11376771717695666,0.13911730385538712,0.172831104242875,0.20244989689004078,0.2500216594960454,0.7431247029203676,0.13171869371633704,0.11092239287476718,0.71,0.37106221878596696,0.856,0.024106666666666658,0.03013333333333333,61.17691397666931
Baseline MLE,2,0.00016495355310992558,0.006935810851327312,0.005773469222826645,0.005831832304288601,0.005947398339248937,0.00017068663120466685,0.00600697057174801,0.0059810292417611655,0.5954739711855309,0.006136341353256325,0.00023871266334142115,0.756,0.0,1.0,0.003253333333333358,0.004066666666666698,0.0058629512786865234
