Strategy,Seed,Avg_KL_Divergence,Avg_TVD,Avg_MAE,Avg_Hellinger,Avg_RMSE,Avg_Weighted_KL,Avg_Weighted_Hellinger,Avg_Weighted_TVD,Inf_LogLoss,Inf_Hellinger,Inf_KL,Inf_Accuracy,Dec_Regret,Dec_Acc,JSON_AvgAbsDiff,JSON_AvgTVD,Avg_Time_Sec
Baseline MLE,0,0.00010023409560807699,0.004108925839052859,0.004108925839052859,0.004700957180943482,0.004108925839052859,0.0001586804109130884,0.005831844090721642,0.006324060970932362,0.48654271124784504,0.004729587912945718,0.00015938795827619224,0.76,0.0009540649570105338,0.992,0.005849999999999987,0.005849999999999987,0.005758047103881836
Random Guess,0,0.27478398522479847,0.2890923550168522,0.2890923550168522,0.25068508546980167,0.2890923550168522,0.03885584844474506,0.0812045105527784,0.09733803462648365,0.6600242857197858,0.11216263884576343,0.14429486821344562,0.614,2.0927264203059885,0.798,0.21471666666666667,0.21471666666666667,0.00034308433532714844
Synthetic EM,0,0.04711995287803015,0.08599409479326463,0.08599409479326463,0.06969502600306754,0.08599409479326463,0.003915619389727061,0.014273923008290734,0.015740535373247475,0.5486489403360052,0.0622286830797284,0.05181047376943526,0.61,0.06696991322725133,0.986,0.05216666666666666,0.05216666666666666,0.09602832794189453
Constraint Optimization,0,0.3553761031086524,0.3797147327775627,0.3797147327775627,0.3169852560877753,0.3797147327775627,0.24709757231916568,0.2583417541129442,0.3342740609709324,0.6931471805599454,0.1961017295434217,0.19749750167393856,0.252,0.18774000232721594,0.972,0.28426666666666667,0.2842666666666667,0.002232789993286133
Iterative Proportional Fitting,0,0.5191112104872437,0.3797147327775627,0.3797147327775627,0.3146329288114718,0.3797147327775627,0.02520497145626434,0.03185403295287817,0.037199410970932344,0.5375538261446312,0.07823761798203598,0.049368884845118005,0.748,0.18774000232721594,0.972,0.16451666666666667,0.16451666666666667,0.0005321502685546875
MCMC Optimization,0,0.6302050050721788,0.38542505428821333,0.38542505428821333,0.324453009045684,0.38542505428821333,0.03449851879704022,0.040729554176152885,0.04833069799109223,0.6750650595404074,0.10454988179658714,0.1625813911786183,0.614,2.0927264203059885,0.798,0.24075,0.24075,1.7865216732025146
Copula Optimization,0,0.0767896040995592,0.10161108236455972,0.10161108236455972,0.08178973711350715,0.10161108236455972,0.008344724628463503,0.03123668880088571,0.03459852140258704,0.4920277024228551,0.029690654919617705,0.008963259652291906,0.738,0.3244414205601878,0.682,0.01873333333333335,0.01873333333333335,5.782867908477783
Baseline MLE,1,0.00043880623491309584,0.006421767063313461,0.006421767063313461,0.0062787323624843155,0.006421767063313461,3.799193092655719e-05,0.0018465027895387838,0.0019158639087303135,0.49065095517083407,0.002504962225769382,3.5483364165125564e-05,0.764,0.0,1.0,0.002400000000000006,0.002400000000000006,0.005713939666748047
Random Guess,1,1.3632489143693567,0.4556179858995151,0.4556179858995151,0.3962968134727978,0.4556179858995151,0.39536456969875144,0.3011970128515997,0.39285251212887706,0.662031825242622,0.185767437121304,0.1699116105445939,0.75,0.11801297412376398,0.986,0.23726666666666665,0.23726666666666665,0.00034308433532714844
Synthetic EM,1,0.05886333270756433,0.08389476040574206,0.08389476040574206,0.06887342478516388,0.08389476040574206,0.005815938356141571,0.0223882159510893,0.02400980795022908,0.5593436586106575,0.0846549738602075,0.06931785053330725,0.584,0.11801297412376398,0.986,0.05154999999999999,0.05154999999999999,0.12865686416625977
