Strategy,Seed,Avg_KL_Divergence,Avg_TVD,Avg_MAE,Avg_Hellinger,Avg_RMSE,Avg_Weighted_KL,Avg_Weighted_Hellinger,Avg_Weighted_TVD,Inf_LogLoss,Inf_Hellinger,Inf_KL,Inf_Accuracy,Dec_Regret,Dec_Acc,JSON_AvgAbsDiff,JSON_AvgTVD,Avg_Time_Sec
Baseline MLE,0,4.9824405899239264e-05,0.0035374914001713737,0.002852927549448481,0.003021395377096349,0.003080075532691939,1.7479493402247465e-05,0.001915646586592869,0.00203419590508985,0.6169248617712372,0.005238975734842296,0.000240804787251714,0.714,0.0,1.0,0.004006666666666664,0.00500833333333333,0.007848262786865234
Random Guess,0,0.234332733245489,0.29176896653201334,0.24942041864183814,0.22909727436080432,0.25906311468677473,0.2222716952091957,0.22132567004571044,0.27654599362388266,0.9588326805474222,0.27367285264618324,0.35887717135127173,0.472,3.625776492516339,0.548,0.17832666666666666,0.22290833333333335,0.0012969970703125
Synthetic EM,0,0.13741189198063566,0.15626339497007183,0.15495403170038494,0.12673002555808358,0.15513036539620847,0.2240405517517668,0.22509428282674118,0.2769989429011229,0.8233199085301293,0.1861004905385032,0.20435199671942428,0.618,1.8894889505189836,0.55,0.04577999999999998,0.05722499999999999,0.5436391830444336
Constraint Optimization,0,0.281887050452434,0.32085432658854507,0.2810623553304148,0.24413238288882208,0.286245939586226,0.23506589798261238,0.2262482077121024,0.28208565496498744,1.0248723818295253,0.30886550324726453,0.39574901944144425,0.398,5.211279815119173,0.274,0.16582,0.20727500000000001,0.022655963897705078
Iterative Proportional Fitting,0,0.24116930263088343,0.3010266419121161,0.26123467065398576,0.22607062926169763,0.266418254909797,0.4070008350863508,0.30542588757438266,0.3989297819760993,0.8848631277056952,0.2134427435377703,0.228288827240425,0.556,2.242993153248548,0.632,0.10684666666666667,0.1335583333333333,0.0009369850158691406
MCMC Optimization,0,0.3711120352764476,0.2854573910537175,0.22118694743673054,0.23069598569431984,0.23444521980192115,0.09108149603410096,0.13731505527946689,0.1614241294165929,0.9262830525143554,0.2457488107668269,0.32815141050752605,0.478,3.625776492516339,0.548,0.2621266666666667,0.32765833333333333,1.8013579845428467
Copula Optimization,0,0.15888246394484054,0.1531157532145654,0.15062007825273138,0.1278192329068036,0.15135464105508242,0.23524167424293763,0.20926124880571906,0.25420416996821293,0.8571820921487463,0.17934287041071767,0.2640370557749401,0.664,0.8390133378585438,0.808,0.012673333333333335,0.015841666666666667,5.786604642868042
Baseline MLE,1,0.00021234544493142706,0.006764273545981221,0.005892568647793678,0.00592805963295152,0.00608775004638058,0.00013049968490658857,0.0039864246269962775,0.004713509156480451,0.6947083594989879,0.006882602187027985,0.00033990774638828703,0.694,0.010902357516417037,0.938,0.004466666666666665,0.005583333333333332,0.005352973937988281
Random Guess,1,2.4763788512028295,0.5408808614446287,0.4640588598322511,0.4644518869008336,0.4850849253829937,0.7184595115403527,0.40583261077501054,0.5320488865874347,1.6085057593311474,0.4134383323557932,0.9953333558233565,0.304,6.390211521020147,0.252,0.365,0.45625,0.00036716461181640625
Synthetic EM,1,0.11755770365630043,0.14115164254132914,0.14023878358879374,0.11490299054683854,0.14047917980828953,0.17705148400913787,0.1976893250416393,0.24009443829042149,0.8696108565563079,0.1929153657494678,0.20183930773930472,0.53,2.21334931442141,0.498,0.0478,0.05975,0.291179895401001
Constraint Optimization,1,0.26602742663212475,0.3150032071997209,0.27521123594159064,0.23875335490715122,0.28039482019740186,0.21825155213123676,0.21719857621340194,0.27110756138549996,1.022012001640508,0.30984911357070866,0.3912889710620631,0.366,5.1849597042921065,0.254,0.16706666666666667,0.20883333333333332,0.020112037658691406
Iterative Proportional Fitting,1,0.2420657111103657,0.3014599752454494,0.2616680039873191,0.2263783156548296,0.2668515882431303,0.4102598083875609,0.3067359886691521,0.4006308652367315,0.895403798217396,0.2125427607813111,0.23853641410042087,0.544,2.1515877694146712,0.628,0.10892000000000003,0.13615,0.0008549690246582031
MCMC Optimization,1,0.157513908624142,0.2008861539405061,0.1786333438480349,0.16732458682949983,0.18133306242819103,0.09269212377126688,0.12065744762561534,0.14108756605273956,1.2062738062974943,0.31984580715979516,0.5977435010569443,0.374,5.443491060474973,0.342,0.16629333333333335,0.20786666666666667,1.765232801437378
