Strategy,Seed,Avg_KL_Divergence,Avg_TVD,Avg_MAE,Avg_Hellinger,Avg_RMSE,Avg_Weighted_KL,Avg_Weighted_Hellinger,Avg_Weighted_TVD,Inf_LogLoss,Inf_Hellinger,Inf_KL,Inf_Accuracy,Dec_Regret,Dec_Acc,Avg_Time_Sec
Random Guess,0,0.27478398522479847,0.2890923550168522,0.2890923550168522,0.25068508546980167,0.2890923550168522,0.03885584844474506,0.0812045105527784,0.09733803462648365,0.6925556077151304,0.11835386691529866,0.15847419468456647,0.6,2.2386212907985814,0.782,0.0003390312194824219
Baseline MLE,0,0.00010023409560807699,0.004108925839052859,0.004108925839052859,0.004700957180943482,0.004108925839052859,0.0001586804109130884,0.005831844090721642,0.006324060970932362,0.4815507452340554,0.0049585237045626,0.00018612849400253845,0.766,0.0014310974355158006,0.988,0.005616188049316406
GPT-4o-mini,0,0.3866863146729913,0.26082951290394485,0.26082951290394485,0.2233856410588321,0.26082951290394485,0.20916242048455225,0.1913115085025056,0.15335097387886581,0.8742279047643463,0.24149941668405978,0.4562139861986466,0.766,0.07044257692120985,0.98,13.927571058273315
Random Guess,1,1.3632489143693567,0.4556179858995151,0.4556179858995151,0.3962968134727978,0.4556179858995151,0.39536456969875144,0.3011970128515997,0.39285251212887706,0.6554502277075221,0.18610432077324782,0.16392052326637152,0.756,0.09149379472094625,0.986,0.0003581047058105469
Baseline MLE,1,0.00043880623491309584,0.006421767063313461,0.006421767063313461,0.0062787323624843155,0.006421767063313461,3.799193092655719e-05,0.0018465027895387838,0.0019158639087303135,0.4875433744005966,0.002537689382865959,4.355331100587829e-05,0.766,0.0,1.0,0.005572795867919922
GPT-4o-mini,1,0.212746139520405,0.17270749489166504,0.17270749489166504,0.14647363493437301,0.17270749489166504,0.14189033422299158,0.12134268760916914,0.10201381019126195,0.5103124298099339,0.060165795085384464,0.027087586262746485,0.764,0.022482315235252202,0.994,14.290855884552002
Random Guess,2,1.0589179231724344,0.421606450946376,0.421606450946376,0.35337101086154105,0.421606450946376,0.1512516967183614,0.14471197282453854,0.19266564910978132,1.080654983789764,0.264545506554741,0.6597189356965782,0.626,2.520321016159646,0.46,0.0003960132598876953
Baseline MLE,2,0.001056634175420087,0.010136257418771217,0.010136257418771217,0.010197502079063803,0.010136257418771217,0.00011465671199526466,0.003331976937434798,0.003346388389954513,0.46092483818297764,0.003870362301631581,0.00011766837772528116,0.754,0.0004770324785052669,0.996,0.006071805953979492
GPT-4o-mini,2,0.0014439401348482078,0.015714732777562617,0.015714732777562617,0.014855446295422329,0.015714732777562617,0.0007582381673233321,0.01356617238468878,0.014475042039061765,0.5611262783440653,0.1146696718672923,0.11009121525175408,0.628,2.4983157334028996,0.462,15.491095781326294
Random Guess,3,0.27808358682359485,0.30111323155942515,0.30111323155942515,0.26046424551403363,0.30111323155942515,0.1550575549284806,0.20132269920930002,0.2540340345143983,0.5395098233407897,0.12622515591793584,0.07121414125836373,0.774,0.0004770324785052669,0.996,0.0003559589385986328
Baseline MLE,3,0.00018379139420639473,0.0051550079538323695,0.0051550079538323695,0.006135972905069237,0.0051550079538323695,4.765271960356961e-05,0.00332440772971162,0.00349664094975077,0.4714109067452947,0.004776805432771082,0.00013476936154640127,0.774,0.0004770324785052669,0.996,0.005517005920410156
GPT-4o-mini,3,0.2154899125447369,0.1426763760193693,0.1426763760193693,0.12421710832366784,0.1426763760193693,0.08697599793790553,0.09455782290992358,0.07244445023003813,0.5768707780186038,0.11736844013181952,0.10557011038460137,0.768,0.2217687095915577,0.972,15.931237936019897
Random Guess,4,0.8483635002274504,0.5443366518966849,0.5443366518966849,0.43382790732030685,0.5443366518966849,0.8291324176444808,0.4495292516367909,0.5959738049592691,1.2490551826848917,0.3440726550376099,0.7261977128071492,0.388,5.6393563064173975,0.47,0.0003349781036376953
Baseline MLE,4,0.000317518781314995,0.0065558214019481855,0.0065558214019481855,0.006696406144555633,0.0065558214019481855,4.904014762327957e-05,0.002710457825820089,0.002933816479656348,0.486777726577532,0.0027824886081027956,6.619203362237269e-05,0.754,0.0004770324785052669,0.996,0.00556635856628418
GPT-4o-mini,4,0.18879059313468396,0.1386876822769016,0.1386876822769016,0.12010431592837746,0.1386876822769016,0.1356386863111239,0.11847665278251572,0.09970821436405232,0.517717583676163,0.05638426593525876,0.023225697218982037,0.754,0.0004770324785052669,0.996,14.162235975265503
