Strategy,Seed,Avg_KL_Divergence,Avg_TVD,Avg_MAE,Avg_Hellinger,Avg_RMSE,Avg_Weighted_KL,Avg_Weighted_Hellinger,Avg_Weighted_TVD,Inf_LogLoss,Inf_Hellinger,Inf_KL,Inf_Accuracy,Dec_Regret,Dec_Acc,Avg_Time_Sec
Random Guess,0,0.234332733245489,0.29176896653201334,0.24942041864183814,0.22909727436080432,0.25906311468677473,0.2222716952091957,0.22132567004571044,0.27654599362388266,1.0593768843834181,0.2855058797325423,0.3919963723882721,0.42,3.8771582700826865,0.516,0.0003612041473388672
Baseline MLE,0,4.9824405899239264e-05,0.0035374914001713737,0.002852927549448481,0.003021395377096349,0.003080075532691939,1.7479493402247465e-05,0.001915646586592869,0.00203419590508985,0.6300305341717578,0.0057464680161326805,0.00028911768915441987,0.734,0.0,1.0,0.0056819915771484375
GPT-4o-mini,0,0.14002553570220583,0.17187108635656048,0.17118652250583763,0.1321766548504871,0.17141367048908107,0.31548958035616165,0.26358487618559584,0.3389608819760993,0.8617049398758172,0.21261530537868406,0.2097959882470957,0.574,1.8197192802059226,0.808,22.416608095169067
Random Guess,1,2.4763788512028295,0.5408808614446287,0.4640588598322511,0.4644518869008336,0.4850849253829937,0.7184595115403527,0.40583261077501054,0.5320488865874347,1.6305238427243232,0.4265463496154981,1.0461685327008994,0.304,6.678945314963736,0.218,0.00033593177795410156
Baseline MLE,1,0.00021234544493142706,0.006764273545981221,0.005892568647793678,0.00592805963295152,0.00608775004638058,0.00013049968490658857,0.0039864246269962775,0.004713509156480451,0.6539325471940508,0.006321592914001808,0.00031562980399665956,0.716,0.012309113324986978,0.93,0.005989789962768555
GPT-4o-mini,1,0.1294828673009578,0.16063633787377954,0.15976463297559204,0.12495273308844768,0.15995981437417892,0.28191995184067076,0.2420242969974309,0.30832752344802655,0.9390954296794105,0.22991731068624585,0.3199413787654051,0.612,1.8026650443059997,0.748,22.438509941101074
Random Guess,2,0.23401488908156667,0.25399905437048037,0.22874987539636824,0.21100710424497585,0.23184390376544828,0.4205063768159064,0.301025418109588,0.3907196917254871,0.8939639641330795,0.22355917064939104,0.2566762093957133,0.468,3.403564790851547,0.506,0.0003361701965332031
Baseline MLE,2,0.00016495355310992558,0.006935810851327312,0.005773469222826645,0.005831832304288601,0.005947398339248937,0.00017068663120466685,0.00600697057174801,0.0059810292417611655,0.5866205570553881,0.006070092991042454,0.0002279870655324856,0.758,0.0,1.0,0.005524873733520508
GPT-4o-mini,2,0.143780140066976,0.16552664191211605,0.16436430028361537,0.12755841462936796,0.16453822940003768,0.3330203971558231,0.25880595873202455,0.3320102474918829,0.7943438545519493,0.17116929487131027,0.18955046957452296,0.664,1.355381547792046,0.874,20.961479902267456
Random Guess,3,0.4331851816949143,0.3383180732159276,0.277567895142902,0.2677441403829183,0.288964101083153,0.31333167174585363,0.2322401249388368,0.290515499154224,0.8941768249808246,0.21407221945027055,0.2438091104771063,0.51,2.9896366569931674,0.452,0.00032782554626464844
Baseline MLE,3,0.00020266338396747604,0.005799688129716921,0.004781790945660695,0.005831830795789884,0.005223726512461555,0.000206876490172544,0.005395641430406485,0.005359536038727479,0.672942463267364,0.004802849726237657,0.0002424156328018091,0.69,0.0,1.0,0.005516767501831055
GPT-4o-mini,3,0.1685888606765293,0.19268123425393802,0.19166333706988178,0.14784219504576426,0.19210527263668264,0.3404917209931303,0.27971781893549513,0.36204570352105114,0.9512033911106746,0.2587770929049094,0.31392049710472825,0.394,4.589449676712704,0.476,21.027848958969116
Random Guess,4,0.4869078758090481,0.31334591336925766,0.2850791614250585,0.2549872351406263,0.2947342497935867,0.39590583715277416,0.25605188990543337,0.3121407886703036,0.8407619468871808,0.1897033273481381,0.23321372727475959,0.63,1.5573397014786163,0.842,0.00033092498779296875
Baseline MLE,4,0.00011650882301695633,0.00593321902171358,0.005275915624733778,0.004936231702861997,0.005430695785734897,7.223679946696727e-05,0.0034619579197516506,0.004049610422080018,0.6140922650648107,0.005444868228457203,0.00021652364868933143,0.724,0.010902357516417037,0.938,0.006523847579956055
GPT-4o-mini,4,0.17116830233492877,0.17690041610644236,0.17624311270946255,0.13631053421823314,0.17639789287046367,0.38276977781357463,0.2692338709758578,0.34545037003507306,0.8581756437013873,0.21658322899753263,0.22494055348483824,0.638,1.3868282560475478,0.87,24.112222909927368
