Strategy,Seed,Avg_KL_Divergence,Avg_TVD,Avg_MAE,Avg_Hellinger,Avg_RMSE,Avg_Weighted_KL,Avg_Weighted_Hellinger,Avg_Weighted_TVD,Inf_LogLoss,Inf_Hellinger,Inf_KL,Inf_Accuracy,Dec_Regret,Dec_Acc,JSON_AvgAbsDiff,JSON_AvgTVD,Avg_Time_Sec
Random Guess,0,0.234332733245489,0.29176896653201334,0.24942041864183814,0.22909727436080432,0.25906311468677473,0.2222716952091957,0.22132567004571044,0.27654599362388266,1.0543556302626356,0.2941203738934655,0.408347482261205,0.396,4.21520995417887,0.482,0.17832666666666666,0.22290833333333335,0.0011990070343017578
Baseline MLE,0,4.9824405899239264e-05,0.0035374914001713737,0.002852927549448481,0.003021395377096349,0.003080075532691939,1.7479493402247465e-05,0.001915646586592869,0.00203419590508985,0.6287237077634512,0.0060890810637666045,0.00030775510484183654,0.718,0.0,1.0,0.004006666666666664,0.00500833333333333,0.007498264312744141
gpt-4o-mini,0,0.15761822884106638,0.17211935917583007,0.17143479532510716,0.13261865591678046,0.1716619433083506,0.3205633919546901,0.25249080909619287,0.3230055709495073,0.8052013441297089,0.16888798354435197,0.1509399193139068,0.61,1.507291316775045,0.786,0.062459999999999995,0.07807499999999999,19.807941198349
Random Guess,1,2.4763788512028295,0.5408808614446287,0.4640588598322511,0.4644518869008336,0.4850849253829937,0.7184595115403527,0.40583261077501054,0.5320488865874347,1.5912255456771758,0.4284228384164727,1.0426119696967444,0.282,6.7726169685242965,0.22,0.365,0.45625,0.00038695335388183594
Baseline MLE,1,0.00021234544493142706,0.006764273545981221,0.005892568647793678,0.00592805963295152,0.00608775004638058,0.00013049968490658857,0.0039864246269962775,0.004713509156480451,0.6350644403483579,0.006355577465234525,0.00031312190770810283,0.718,0.010550668564274552,0.94,0.004466666666666665,0.005583333333333332,0.006083011627197266
gpt-4o-mini,1,0.14578009827908953,0.17018710184077637,0.16931539694258882,0.13155464829377303,0.16951057834117575,0.33735421010231414,0.26397062976827873,0.33903842069914547,0.7759098042808563,0.1714907756450164,0.151105725367398,0.622,1.9952679073061321,0.762,0.04920000000000001,0.06149999999999998,22.479723930358887
Random Guess,2,0.23401488908156667,0.25399905437048037,0.22874987539636824,0.21100710424497585,0.23184390376544828,0.4205063768159064,0.301025418109588,0.3907196917254871,0.8787625442228847,0.22708155250060377,0.2599131719563411,0.478,3.5731361968647724,0.464,0.08039999999999999,0.10049999999999999,0.0003387928009033203
Baseline MLE,2,0.00016495355310992558,0.006935810851327312,0.005773469222826645,0.005831832304288601,0.005947398339248937,0.00017068663120466685,0.00600697057174801,0.0059810292417611655,0.6073214855082053,0.005990292087742787,0.0002245017304215804,0.736,0.0,1.0,0.003253333333333358,0.004066666666666698,0.006211042404174805
gpt-4o-mini,2,0.1216788985459689,0.1445526925091634,0.1433903508806627,0.11281838322637873,0.14356427999708501,0.32504549919607695,0.23928438600258595,0.30477971213851507,0.8810352220481079,0.21195357745177318,0.2550108268200238,0.638,1.4628271178213827,0.798,0.061853333333333364,0.0773166666666667,20.643373012542725
Random Guess,3,0.4331851816949143,0.3383180732159276,0.277567895142902,0.2677441403829183,0.288964101083153,0.31333167174585363,0.2322401249388368,0.290515499154224,0.926136657186659,0.22642131045214675,0.272751277951641,0.502,3.274781357307627,0.412,0.1882066666666667,0.23525833333333335,0.00034117698669433594
Baseline MLE,3,0.00020266338396747604,0.005799688129716921,0.004781790945660695,0.005831830795789884,0.005223726512461555,0.000206876490172544,0.005395641430406485,0.005359536038727479,0.6699132208234038,0.005332082061894648,0.0002920335956921888,0.702,0.0,1.0,0.004246666666666673,0.005308333333333341,0.005863189697265625
gpt-4o-mini,3,0.12032289173624351,0.1476640186625269,0.14664612147847067,0.11722831214168898,0.14708805704527153,0.25914903314693555,0.22364542900962028,0.2823034790309139,0.8995800834589464,0.22382492890248937,0.242638264879644,0.552,2.0061432376533093,0.776,0.0639,0.07987500000000002,22.572640895843506
Random Guess,4,0.4869078758090481,0.31334591336925766,0.2850791614250585,0.2549872351406263,0.2947342497935867,0.39590583715277416,0.25605188990543337,0.3121407886703036,0.8598087970287306,0.18826498155780916,0.24085680444772978,0.622,1.6456954465478677,0.836,0.22204666666666661,0.2775583333333333,0.0003540515899658203
Baseline MLE,4,0.00011650882301695633,0.00593321902171358,0.005275915624733778,0.004936231702861997,0.005430695785734897,7.223679946696727e-05,0.0034619579197516506,0.004049610422080018,0.6018269956974008,0.005533748556193633,0.00021766179962249258,0.734,0.012660802277129462,0.928,0.0051533333333333466,0.006441666666666683,0.005897998809814453
gpt-4o-mini,4,0.14504055767167226,0.1686781938842201,0.1680208904872403,0.13027378907977685,0.16817567064824143,0.32625382108370327,0.2558993174649715,0.327620970035073,0.8268100527011573,0.20135822807668466,0.2080952281910618,0.598,1.9648925894611635,0.796,0.04840666666666668,0.06050833333333335,19.91474676132202
