Strategy,Seed,Avg_KL_Divergence,Avg_TVD,Avg_MAE,Avg_Hellinger,Avg_RMSE,Avg_Weighted_KL,Avg_Weighted_Hellinger,Avg_Weighted_TVD,Inf_LogLoss,Inf_Hellinger,Inf_KL,Inf_Accuracy,Dec_Regret,Dec_Acc,Avg_Time_Sec
Random Guess,0,0.234332733245489,0.29176896653201334,0.24942041864183814,0.22909727436080432,0.25906311468677473,0.2222716952091957,0.22132567004571044,0.27654599362388266,0.9927552760756362,0.2847564030628276,0.3840096314648616,0.44,3.904448290857621,0.516,0.00034809112548828125
Baseline MLE,0,4.9824405899239264e-05,0.0035374914001713737,0.002852927549448481,0.003021395377096349,0.003080075532691939,1.7479493402247465e-05,0.001915646586592869,0.00203419590508985,0.6330005071075107,0.005495998466711267,0.00026087511736144845,0.716,0.0,1.0,0.005661964416503906
GPT-4o-mini,0,0.20758181305309886,0.19742664191211604,0.19674207806139318,0.1499398075840743,0.19696922604463662,0.5539870285402401,0.3377812314595129,0.4419743819760993,0.9465331810780844,0.21257063702417708,0.2693200743461371,0.43,3.347724597621119,0.638,14.369305849075317
Random Guess,1,2.4763788512028295,0.5408808614446287,0.4640588598322511,0.4644518869008336,0.4850849253829937,0.7184595115403527,0.40583261077501054,0.5320488865874347,1.5925671161215238,0.41768710274324783,1.0072513198216633,0.3,6.626059008365304,0.222,0.00033473968505859375
Baseline MLE,1,0.00021234544493142706,0.006764273545981221,0.005892568647793678,0.00592805963295152,0.00608775004638058,0.00013049968490658857,0.0039864246269962775,0.004713509156480451,0.6705781092269699,0.006863940866462137,0.0003549047801184287,0.706,0.013012491229271948,0.926,0.005597829818725586
GPT-4o-mini,1,0.3021668198662249,0.2535436206100656,0.252671915711878,0.19275193432584528,0.25286709711046496,0.7862689284690749,0.40482341945193223,0.5306623052367315,1.0762993186010612,0.32105827234953854,0.4547533131128013,0.308,6.379380436619195,0.336,12.287823915481567
Random Guess,2,0.23401488908156667,0.25399905437048037,0.22874987539636824,0.21100710424497585,0.23184390376544828,0.4205063768159064,0.301025418109588,0.3907196917254871,0.859471159366785,0.22328683098424176,0.253250332755535,0.49,3.430016271571868,0.494,0.0003330707550048828
Baseline MLE,2,0.00016495355310992558,0.006935810851327312,0.005773469222826645,0.005831832304288601,0.005947398339248937,0.00017068663120466685,0.00600697057174801,0.0059810292417611655,0.5682780586499139,0.005922103270918346,0.0002198726143986739,0.76,0.0,1.0,0.005430936813354492
GPT-4o-mini,2,0.2528830571098238,0.2399710863565605,0.2388087447280598,0.18098228241189554,0.23898267384448213,0.6312001897530326,0.3715672580188579,0.48989274749188294,1.0403473285769267,0.31157359366417203,0.4351514249839212,0.302,6.502456089722662,0.308,12.579889059066772
Random Guess,3,0.4331851816949143,0.3383180732159276,0.277567895142902,0.2677441403829183,0.288964101083153,0.31333167174585363,0.2322401249388368,0.290515499154224,0.9194724910695196,0.22862750617370575,0.28038750679222074,0.504,3.2009124660085893,0.436,0.00035190582275390625
Baseline MLE,3,0.00020266338396747604,0.005799688129716921,0.004781790945660695,0.005831830795789884,0.005223726512461555,0.000206876490172544,0.005395641430406485,0.005359536038727479,0.6705489834729901,0.005703818080666141,0.000319753012844678,0.71,0.0,1.0,0.005524158477783203
GPT-4o-mini,3,0.12142212942018987,0.13731553080100492,0.13629763361694872,0.10623678584821004,0.13673956918374958,0.3164389888484112,0.21713217950530567,0.27930508629411466,0.7284638966731128,0.09983818804034167,0.06482518919982616,0.694,0.0,1.0,15.782892942428589
Random Guess,4,0.4869078758090481,0.31334591336925766,0.2850791614250585,0.2549872351406263,0.2947342497935867,0.39590583715277416,0.25605188990543337,0.3121407886703036,0.8748035511370267,0.1956075552688034,0.24906558527067205,0.608,1.688073407632358,0.83,0.0003330707550048828
Baseline MLE,4,0.00011650882301695633,0.00593321902171358,0.005275915624733778,0.004936231702861997,0.005430695785734897,7.223679946696727e-05,0.0034619579197516506,0.004049610422080018,0.6167092811603699,0.005526616550823091,0.00022629731630424848,0.734,0.010550668564274552,0.94,0.005442142486572266
GPT-4o-mini,4,0.12345321576406171,0.1417893049953312,0.1411320015983514,0.11024243054417027,0.14128678175935253,0.32690730059635675,0.23161982406894036,0.2958048200350731,0.8695069445124379,0.19280571772149332,0.23360695346971777,0.578,2.027601778143167,0.792,13.828731775283813
