Strategy,Seed,Avg_KL_Divergence,Avg_TVD,Avg_MAE,Avg_Hellinger,Avg_RMSE,Avg_Weighted_KL,Avg_Weighted_Hellinger,Avg_Weighted_TVD,Inf_LogLoss,Inf_Hellinger,Inf_KL,Inf_Accuracy,Dec_Regret,Dec_Acc,JSON_AvgAbsDiff,JSON_AvgTVD,Avg_Time_Sec
Random Guess,0,0.234332733245489,0.29176896653201334,0.24942041864183814,0.22909727436080432,0.25906311468677473,0.2222716952091957,0.22132567004571044,0.27654599362388266,0.9624776384751308,0.26924403178152045,0.35543634919383327,0.48,3.4377380756621077,0.572,0.17832666666666666,0.22290833333333335,0.0012900829315185547
Baseline MLE,0,4.9824405899239264e-05,0.0035374914001713737,0.002852927549448481,0.003021395377096349,0.003080075532691939,1.7479493402247465e-05,0.001915646586592869,0.00203419590508985,0.602650729374865,0.00516355870029747,0.0002527884790726882,0.732,0.0,1.0,0.004006666666666664,0.00500833333333333,0.007998943328857422
gpt-5.1,0,0.24552823398048396,0.23409330857878272,0.2334087447280598,0.17694388580213408,0.23363589271130328,0.6300680126554246,0.3707546179149579,0.4886088819760992,0.95050440212436,0.2608427746977514,0.3142613050370326,0.28,2.945665464202651,0.704,0.029793333333333324,0.03724166666666665,15.387150764465332
Random Guess,1,2.4763788512028295,0.5408808614446287,0.4640588598322511,0.4644518869008336,0.4850849253829937,0.7184595115403527,0.40583261077501054,0.5320488865874347,1.693467159800376,0.4249412536144689,1.0360758910165082,0.274,6.676188395914579,0.22,0.365,0.45625,0.0003757476806640625
Baseline MLE,1,0.00021234544493142706,0.006764273545981221,0.005892568647793678,0.00592805963295152,0.00608775004638058,0.00013049968490658857,0.0039864246269962775,0.004713509156480451,0.6722594981103989,0.006412849648568917,0.00031985481717487253,0.694,0.011957424372844493,0.932,0.004466666666666665,0.005583333333333332,0.0061686038970947266
gpt-5.1,1,0.11607723788562078,0.13132139838784335,0.13044969348965582,0.10181884391603697,0.1306448748882427,0.3144649035829656,0.21532619758674945,0.27666230523673147,0.7842820814522772,0.1485916215889513,0.15679263439045718,0.576,2.26852070982408,0.734,0.013279999999999993,0.016599999999999993,18.764452934265137
Random Guess,2,0.23401488908156667,0.25399905437048037,0.22874987539636824,0.21100710424497585,0.23184390376544828,0.4205063768159064,0.301025418109588,0.3907196917254871,0.8897831688622181,0.22487252061477164,0.25753212268101794,0.46,3.444758001968059,0.48,0.08039999999999999,0.10049999999999999,0.0003399848937988281
Baseline MLE,2,0.00016495355310992558,0.006935810851327312,0.005773469222826645,0.005831832304288601,0.005947398339248937,0.00017068663120466685,0.00600697057174801,0.0059810292417611655,0.6145189026280321,0.006263528453910241,0.00024440344178507914,0.742,0.0,1.0,0.003253333333333358,0.004066666666666698,0.005922079086303711
gpt-5.1,2,0.14777635061343647,0.14774886413433827,0.14658652250583762,0.11316025467413438,0.1467604516222599,0.3821623132027354,0.23191859339321913,0.29827524749188294,0.7892684452912118,0.1529400194360738,0.17816318288034924,0.638,1.6868960907970407,0.824,0.027173333333333344,0.03396666666666668,15.616536855697632
Random Guess,3,0.4331851816949143,0.3383180732159276,0.277567895142902,0.2677441403829183,0.288964101083153,0.31333167174585363,0.2322401249388368,0.290515499154224,0.9003435117813473,0.2212012537976376,0.2638344172378636,0.524,3.031201012544754,0.466,0.1882066666666667,0.23525833333333335,0.00034499168395996094
Baseline MLE,3,0.00020266338396747604,0.005799688129716921,0.004781790945660695,0.005831830795789884,0.005223726512461555,0.000206876490172544,0.005395641430406485,0.005359536038727479,0.6012008794158737,0.005367908919044024,0.0002908700065417328,0.74,0.0,1.0,0.004246666666666673,0.005308333333333341,0.0066509246826171875
gpt-5.1,3,0.22657053062290355,0.23175997524544942,0.23074207806139313,0.17604040899289256,0.23118401362819405,0.5772757081693602,0.36035535969985455,0.47467258629411463,0.8433838192233946,0.2359387280004689,0.24403767849338137,0.384,2.0906509750198676,0.616,0.03572666666666667,0.04465833333333335,20.019458055496216
Random Guess,4,0.4869078758090481,0.31334591336925766,0.2850791614250585,0.2549872351406263,0.2947342497935867,0.39590583715277416,0.25605188990543337,0.3121407886703036,0.8609698175243,0.19314941632880067,0.24036707952417521,0.628,1.6371651934163856,0.832,0.22204666666666661,0.2775583333333333,0.0003609657287597656
Baseline MLE,4,0.00011650882301695633,0.00593321902171358,0.005275915624733778,0.004936231702861997,0.005430695785734897,7.223679946696727e-05,0.0034619579197516506,0.004049610422080018,0.6154528397312459,0.005810120669744441,0.0002485411299256111,0.724,0.009495601707847096,0.946,0.0051533333333333466,0.006441666666666683,0.005936861038208008
gpt-5.1,4,0.12246269106107921,0.13623374943977565,0.13557644604279587,0.10630855630128005,0.135731226203797,0.3260661965448191,0.22827937475559015,0.2910873200350731,0.8993692677860443,0.19645649761723455,0.25497551691945824,0.536,2.484841331889969,0.714,0.03863333333333336,0.0482916666666667,23.924304962158203
