Strategy,Seed,Avg_KL_Divergence,Avg_TVD,Avg_MAE,Avg_Hellinger,Avg_RMSE,Avg_Weighted_KL,Avg_Weighted_Hellinger,Avg_Weighted_TVD,Inf_LogLoss,Inf_Hellinger,Inf_KL,Inf_Accuracy,Dec_Regret,Dec_Acc,Avg_Time_Sec
Random Guess,0,0.27478398522479847,0.2890923550168522,0.2890923550168522,0.25068508546980167,0.2890923550168522,0.03885584844474506,0.0812045105527784,0.09733803462648365,0.6827342284272222,0.12402709091593536,0.1637832094720105,0.59,2.4553306907960586,0.766,0.0003681182861328125
Baseline MLE,0,0.00010023409560807699,0.004108925839052859,0.004108925839052859,0.004700957180943482,0.004108925839052859,0.0001586804109130884,0.005831844090721642,0.006324060970932362,0.48806928685618745,0.004811280334727277,0.00014835372121406494,0.762,0.0007155487177579003,0.994,0.005797147750854492
GPT-4o-mini,0,0.17082620373568577,0.16665656340460586,0.16665656340460586,0.1263412323008677,0.16665656340460586,0.01314220614685809,0.020849157987659232,0.024926483399350656,0.5280532322255699,0.06147485467158582,0.032912721985903164,0.738,0.33956356446879704,0.702,107.43202710151672
Random Guess,1,1.3632489143693567,0.4556179858995151,0.4556179858995151,0.3962968134727978,0.4556179858995151,0.39536456969875144,0.3011970128515997,0.39285251212887706,0.6694531396436988,0.18899871411433086,0.17429683634676144,0.744,0.1009986204915931,0.986,0.0003719329833984375
Baseline MLE,1,0.00043880623491309584,0.006421767063313461,0.006421767063313461,0.0062787323624843155,0.006421767063313461,3.799193092655719e-05,0.0018465027895387838,0.0019158639087303135,0.4956495984024477,0.002502403134916165,4.177097363040385e-05,0.754,0.0,1.0,0.00583195686340332
GPT-4o-mini,1,0.08533181356413545,0.11275970935270263,0.11275970935270263,0.08736657132184616,0.11275970935270263,0.0063223425116862835,0.01646565207196923,0.01799613609126968,0.5011662191587839,0.021392487623237165,0.004031755578410261,0.754,0.0004770324785052669,0.996,96.48602795600891
Random Guess,2,1.0589179231724344,0.421606450946376,0.421606450946376,0.35337101086154105,0.421606450946376,0.1512516967183614,0.14471197282453854,0.19266564910978132,1.0034134308022609,0.23930466772987208,0.5949562163239893,0.656,2.2401450102404996,0.51,0.00040912628173828125
Baseline MLE,2,0.001056634175420087,0.010136257418771217,0.010136257418771217,0.010197502079063803,0.010136257418771217,0.00011465671199526466,0.003331976937434798,0.003346388389954513,0.448367621473419,0.003945874728046658,0.0001229850429401699,0.77,0.0,1.0,0.00580286979675293
GPT-4o-mini,2,0.026873983293350858,0.060848066110895965,0.060848066110895965,0.05002366715564058,0.060848066110895965,0.001954336092505141,0.007452543883654447,0.008492682039061776,0.4498597455766399,0.010436624816439458,0.0021541553442269135,0.77,0.0,1.0,90.55537104606628
Random Guess,3,0.27808358682359485,0.30111323155942515,0.30111323155942515,0.26046424551403363,0.30111323155942515,0.1550575549284806,0.20132269920930002,0.2540340345143983,0.5791038126375581,0.12844934892468313,0.07783955469569753,0.754,0.0011925811962631672,0.99,0.0004017353057861328
Baseline MLE,3,0.00018379139420639473,0.0051550079538323695,0.0051550079538323695,0.006135972905069237,0.0051550079538323695,4.765271960356961e-05,0.00332440772971162,0.00349664094975077,0.48716922286248004,0.0048031156547928945,0.00014070204318062936,0.754,0.0011925811962631672,0.99,0.006097078323364258
GPT-4o-mini,3,0.008264484466893126,0.03352637601936931,0.03352637601936931,0.03140800999653329,0.03352637601936931,0.003766869087636149,0.023319778381483046,0.022095065230038125,0.497035847312505,0.05056399694518164,0.011890382310263792,0.754,0.04520314670975704,0.986,84.33444881439209
Random Guess,4,0.8483635002274504,0.5443366518966849,0.5443366518966849,0.43382790732030685,0.5443366518966849,0.8291324176444808,0.4495292516367909,0.5959738049592691,1.2673554229777195,0.344627061359339,0.7406376750071376,0.4,5.433681274411939,0.49,0.0003838539123535156
Baseline MLE,4,0.000317518781314995,0.0065558214019481855,0.0065558214019481855,0.006696406144555633,0.0065558214019481855,4.904014762327957e-05,0.002710457825820089,0.002933816479656348,0.4686924944782327,0.0028947288704053095,7.743995435556647e-05,0.758,0.0004770324785052669,0.996,0.00590825080871582
GPT-4o-mini,4,0.08383510506702596,0.11258139944422929,0.11258139944422929,0.08752557218473805,0.11258139944422929,0.006326976088817381,0.014908736195154676,0.016949210690588565,0.4865115757521662,0.03876520542159877,0.011334802798280662,0.76,0.14025677311976356,0.982,104.37783908843994
