Strategy,Seed,Avg_KL_Divergence,Avg_TVD,Avg_MAE,Avg_Hellinger,Avg_RMSE,Avg_Weighted_KL,Avg_Weighted_Hellinger,Avg_Weighted_TVD,Inf_LogLoss,Inf_Hellinger,Inf_KL,Inf_Accuracy,Dec_Regret,Dec_Acc,Avg_Time_Sec
Random Guess,0,0.234332733245489,0.29176896653201334,0.24942041864183814,0.22909727436080432,0.25906311468677473,0.2222716952091957,0.22132567004571044,0.27654599362388266,0.9818075650311946,0.2739503931781967,0.3616180820152836,0.44,3.617150667005453,0.554,0.00035190582275390625
Baseline MLE,0,4.9824405899239264e-05,0.0035374914001713737,0.002852927549448481,0.003021395377096349,0.003080075532691939,1.7479493402247465e-05,0.001915646586592869,0.00203419590508985,0.5847045822561325,0.005180649177451275,0.0002471648351150256,0.768,0.0,1.0,0.005992889404296875
GPT-4o-mini,0,0.310613684159095,0.2632599752454494,0.2625754113947265,0.19842855863357153,0.26280255937797,0.7718226618277623,0.40544592963250825,0.5335307569760992,0.9385289339242988,0.24535732963894302,0.3004258405186477,0.324,5.481222924844207,0.286,126.49306011199951
Random Guess,1,2.4763788512028295,0.5408808614446287,0.4640588598322511,0.4644518869008336,0.4850849253829937,0.7184595115403527,0.40583261077501054,0.5320488865874347,1.6587492320447268,0.42864532524467575,1.046556184023804,0.274,6.804587063325188,0.206,0.0003387928009033203
Baseline MLE,1,0.00021234544493142706,0.006764273545981221,0.005892568647793678,0.00592805963295152,0.00608775004638058,0.00013049968490658857,0.0039864246269962775,0.004713509156480451,0.6265853508640074,0.006293219121991788,0.00031580069677071245,0.716,0.014419247037841889,0.918,0.005627155303955078
GPT-4o-mini,1,0.3683219401563467,0.2742436206100656,0.2733719157118781,0.20969028397901726,0.2735670971104649,0.9811780483361567,0.4444217823360338,0.5779081252367315,0.935147996457167,0.2553808654789497,0.33366764900866214,0.402,4.880231388180911,0.508,103.10872101783752
Random Guess,2,0.23401488908156667,0.25399905437048037,0.22874987539636824,0.21100710424497585,0.23184390376544828,0.4205063768159064,0.301025418109588,0.3907196917254871,0.8835096241850242,0.22445838020496825,0.25575951645149714,0.47,3.4636107464048638,0.484,0.0003380775451660156
Baseline MLE,2,0.00016495355310992558,0.006935810851327312,0.005773469222826645,0.005831832304288601,0.005947398339248937,0.00017068663120466685,0.00600697057174801,0.0059810292417611655,0.619674328082061,0.005848972433011223,0.0002149898137659807,0.728,0.0,1.0,0.005585908889770508
GPT-4o-mini,2,0.2871027192379873,0.24800441968989384,0.24684207806139313,0.18803528672144942,0.24701600717781544,0.765634463777162,0.4008261595706862,0.5261811474918829,0.8787627249144256,0.23524594506767807,0.24449487469248057,0.328,2.1699786590628993,0.614,94.8039801120758
Random Guess,3,0.4331851816949143,0.3383180732159276,0.277567895142902,0.2677441403829183,0.288964101083153,0.31333167174585363,0.2322401249388368,0.290515499154224,0.9056379618373148,0.22675991674339485,0.2722445387732504,0.502,3.286899182651695,0.418,0.0003352165222167969
Baseline MLE,3,0.00020266338396747604,0.005799688129716921,0.004781790945660695,0.005831830795789884,0.005223726512461555,0.000206876490172544,0.005395641430406485,0.005359536038727479,0.6224117614256157,0.005125926152717086,0.00026964765169118,0.722,0.0,1.0,0.005525112152099609
GPT-4o-mini,3,0.3355208226216906,0.26731553080100495,0.26629763361694875,0.2031765838771565,0.2667395691837496,0.8543388706803461,0.42061552227203225,0.5509905862941147,0.9009669107082077,0.22550617040403362,0.26347916056059445,0.616,1.4329906629891143,0.862,85.70132803916931
Random Guess,4,0.4869078758090481,0.31334591336925766,0.2850791614250585,0.2549872351406263,0.2947342497935867,0.39590583715277416,0.25605188990543337,0.3121407886703036,0.8719317164920806,0.19806464477454808,0.2587465436057897,0.602,1.7107296477920035,0.832,0.0003342628479003906
Baseline MLE,4,0.00011650882301695633,0.00593321902171358,0.005275915624733778,0.004936231702861997,0.005430695785734897,7.223679946696727e-05,0.0034619579197516506,0.004049610422080018,0.6222399323263723,0.005373934048128591,0.00021011464389996862,0.726,0.010198979612132068,0.942,0.005571126937866211
GPT-4o-mini,4,0.33127743561644335,0.2673448605508868,0.26668755715390696,0.20240486243914865,0.2668423373149081,0.853297164785916,0.4209401412504782,0.5514628200350731,0.9090729646836103,0.2525237361057753,0.2861199797730249,0.356,5.460429287011172,0.282,89.1773681640625
