Strategy,Seed,Avg_KL_Divergence,Avg_TVD,Avg_MAE,Avg_Hellinger,Avg_RMSE,Avg_Weighted_KL,Avg_Weighted_Hellinger,Avg_Weighted_TVD,Inf_LogLoss,Inf_Hellinger,Inf_KL,Inf_Accuracy,Dec_Regret,Dec_Acc,JSON_AvgAbsDiff,JSON_AvgTVD,Avg_Time_Sec
Random Guess,0,0.234332733245489,0.29176896653201334,0.24942041864183814,0.22909727436080432,0.25906311468677473,0.2222716952091957,0.22132567004571044,0.27654599362388266,0.9582668309037278,0.27402330433648187,0.3615794393621247,0.478,3.6576062255095088,0.546,0.17832666666666666,0.22290833333333335,0.0015659332275390625
Baseline MLE,0,4.9824405899239264e-05,0.0035374914001713737,0.002852927549448481,0.003021395377096349,0.003080075532691939,1.7479493402247465e-05,0.001915646586592869,0.00203419590508985,0.5991148406993607,0.005398435404797866,0.0002557498432952774,0.742,0.0,1.0,0.004006666666666664,0.00500833333333333,0.00873875617980957
o4-mini,0,0.3114881429752654,0.266315530801005,0.2656309669502821,0.20068285075581152,0.26585811493352557,0.772970748288033,0.40757269555226133,0.5364293819760992,0.9447103828882325,0.25839134842627154,0.3108488702237846,0.394,4.987798183899937,0.472,0.044126666666666654,0.05515833333333333,71.95831298828125
Random Guess,1,2.4763788512028295,0.5408808614446287,0.4640588598322511,0.4644518869008336,0.4850849253829937,0.7184595115403527,0.40583261077501054,0.5320488865874347,1.7128687871661044,0.43347849067499455,1.0796532789629874,0.278,6.774532328273333,0.208,0.365,0.45625,0.000347137451171875
Baseline MLE,1,0.00021234544493142706,0.006764273545981221,0.005892568647793678,0.00592805963295152,0.00608775004638058,0.00013049968490658857,0.0039864246269962775,0.004713509156480451,0.6646509395214457,0.006698134311950302,0.000347240566048068,0.718,0.011957424372844493,0.932,0.004466666666666665,0.005583333333333332,0.0062389373779296875
o4-mini,1,0.25876140993920277,0.23876584283228777,0.23789413793410027,0.1817595043033291,0.23808931933268715,0.6919494842797678,0.3869425300434155,0.5087413052367316,0.8896467883950018,0.22594644614826473,0.2411017310219766,0.556,1.2927757358646423,0.874,0.01605333333333334,0.020066666666666674,79.92076992988586
Random Guess,2,0.23401488908156667,0.25399905437048037,0.22874987539636824,0.21100710424497585,0.23184390376544828,0.4205063768159064,0.301025418109588,0.3907196917254871,0.8482580078981448,0.2200442519043987,0.24673182119878434,0.498,3.319014319561072,0.514,0.08039999999999999,0.10049999999999999,0.00033593177795410156
Baseline MLE,2,0.00016495355310992558,0.006935810851327312,0.005773469222826645,0.005831832304288601,0.005947398339248937,0.00017068663120466685,0.00600697057174801,0.0059810292417611655,0.5779030872478668,0.005784507731921857,0.00021307193912305732,0.748,0.0,1.0,0.003253333333333358,0.004066666666666698,0.006206989288330078
o4-mini,2,0.3010269997139475,0.2517044196898938,0.25054207806139317,0.19134153966437562,0.25071600717781545,0.8090663505406281,0.40916940466223123,0.535577847491883,0.9524795895799597,0.26217526317153683,0.3111157804053877,0.304,2.284598246416744,0.578,0.05936,0.07420000000000002,65.64723610877991
Random Guess,3,0.4331851816949143,0.3383180732159276,0.277567895142902,0.2677441403829183,0.288964101083153,0.31333167174585363,0.2322401249388368,0.290515499154224,0.9449290662809802,0.22999181607657296,0.28478146755396333,0.514,3.2078064067692345,0.436,0.1882066666666667,0.23525833333333335,0.0003418922424316406
Baseline MLE,3,0.00020266338396747604,0.005799688129716921,0.004781790945660695,0.005831830795789884,0.005223726512461555,0.000206876490172544,0.005395641430406485,0.005359536038727479,0.6698827694743643,0.00571493882389606,0.0003178329830578209,0.692,0.0,1.0,0.004246666666666673,0.005308333333333341,0.006582021713256836
o4-mini,3,0.2740815599976665,0.23175997524544942,0.2307420780613932,0.1776529530801175,0.23118401362819405,0.7643953168052132,0.39431962845788093,0.5157350862941147,0.8511929924621207,0.1960473207181958,0.19545637032680344,0.534,2.3100031972788178,0.782,0.009580000000000003,0.011975000000000006,107.01440405845642
Random Guess,4,0.4869078758090481,0.31334591336925766,0.2850791614250585,0.2549872351406263,0.2947342497935867,0.39590583715277416,0.25605188990543337,0.3121407886703036,0.884005089876281,0.20459364263742266,0.27602962599969066,0.618,1.8838413150302353,0.814,0.22204666666666661,0.2775583333333333,0.00035381317138671875
Baseline MLE,4,0.00011650882301695633,0.00593321902171358,0.005275915624733778,0.004936231702861997,0.005430695785734897,7.223679946696727e-05,0.0034619579197516506,0.004049610422080018,0.6070850990829777,0.005371502217572603,0.00021317690848029808,0.742,0.009143912755704612,0.948,0.0051533333333333466,0.006441666666666683,0.006161928176879883
o4-mini,4,0.31601514506186684,0.2551226383286646,0.2544653349316848,0.1939150068755456,0.2546201150926859,0.8451907790550148,0.4166550806335642,0.5452573200350731,0.8799717971329825,0.22157417126834497,0.2506198578205199,0.54,1.3714299136622266,0.868,0.02454000000000002,0.030675000000000018,77.57248783111572
