Strategy,Seed,Avg_KL_Divergence,Avg_TVD,Avg_MAE,Avg_Hellinger,Avg_RMSE,Avg_Weighted_KL,Avg_Weighted_Hellinger,Avg_Weighted_TVD,Inf_LogLoss,Inf_Hellinger,Inf_KL,Inf_Accuracy,Dec_Regret,Dec_Acc,Avg_Time_Sec
Random Guess,0,0.27478398522479847,0.2890923550168522,0.2890923550168522,0.25068508546980167,0.2890923550168522,0.03885584844474506,0.0812045105527784,0.09733803462648365,0.6587690347320884,0.1164551875776922,0.15500305925331576,0.61,2.1681796910864035,0.788,0.0003337860107421875
Baseline MLE,0,0.00010023409560807699,0.004108925839052859,0.004108925839052859,0.004700957180943482,0.004108925839052859,0.0001586804109130884,0.005831844090721642,0.006324060970932362,0.4520712535245484,0.004829461862175093,0.00016503334980857496,0.774,0.0014310974355158006,0.988,0.005461215972900391
GPT-4o-mini,0,0.06744916101511865,0.08332323007127254,0.08332323007127254,0.0664739366347795,0.08332323007127254,0.00816168166248064,0.026107692341057413,0.025986983399350662,0.47240728455383396,0.061960917279393825,0.01959984049961757,0.774,0.0014310974355158006,0.988,9.810920000076294
Random Guess,1,1.3632489143693567,0.4556179858995151,0.4556179858995151,0.3962968134727978,0.4556179858995151,0.39536456969875144,0.3011970128515997,0.39285251212887706,0.6544413697213597,0.18739005028715908,0.16796022652675008,0.774,0.07923185397409879,0.986,0.0003509521484375
Baseline MLE,1,0.00043880623491309584,0.006421767063313461,0.006421767063313461,0.0062787323624843155,0.006421767063313461,3.799193092655719e-05,0.0018465027895387838,0.0019158639087303135,0.49039638127253293,0.0025655128243135,4.9888801319575094e-05,0.78,0.0,1.0,0.0054509639739990234
GPT-4o-mini,1,0.04251787490452177,0.08928265885204162,0.08928265885204162,0.07396910697916799,0.08928265885204162,0.00950641429566465,0.04404634014489096,0.04468855615263065,0.49484849007654913,0.034475011350104286,0.007096274760994326,0.73,0.0007155487177579003,0.994,11.41840386390686
Random Guess,2,1.0589179231724344,0.421606450946376,0.421606450946376,0.35337101086154105,0.421606450946376,0.1512516967183614,0.14471197282453854,0.19266564910978132,1.0778268383470382,0.22818787497348467,0.5643451967002746,0.62,2.0624028465764175,0.53,0.0003561973571777344
Baseline MLE,2,0.001056634175420087,0.010136257418771217,0.010136257418771217,0.010197502079063803,0.010136257418771217,0.00011465671199526466,0.003331976937434798,0.003346388389954513,0.4987960488697146,0.003871511156506475,0.0001116851712596551,0.754,0.0,1.0,0.005544900894165039
GPT-4o-mini,2,0.04781963331723055,0.08302323007127255,0.08302323007127255,0.06782331237484383,0.08302323007127255,0.0066090933673310275,0.02611616418525305,0.0258014774101731,0.5285444515781076,0.07322981935260747,0.030641337750416456,0.754,0.044010565513493874,0.996,10.701111078262329
Random Guess,3,0.27808358682359485,0.30111323155942515,0.30111323155942515,0.26046424551403363,0.30111323155942515,0.1550575549284806,0.20132269920930002,0.2540340345143983,0.5596827640949021,0.12672968228774875,0.07309902983465677,0.758,0.0007155487177579003,0.994,0.0003509521484375
Baseline MLE,3,0.00018379139420639473,0.0051550079538323695,0.0051550079538323695,0.006135972905069237,0.0051550079538323695,4.765271960356961e-05,0.00332440772971162,0.00349664094975077,0.4888893143541139,0.00471918438534859,0.0001333752817359029,0.758,0.0007155487177579003,0.994,0.0054128170013427734
GPT-4o-mini,3,0.00920904882945226,0.03352637601936931,0.03352637601936931,0.03140360067418714,0.03352637601936931,0.0038232595800809293,0.023319515144938983,0.022095065230038128,0.5173835195647182,0.057875933737329695,0.02583581129200276,0.758,0.04472611423125177,0.99,11.475159883499146
Random Guess,4,0.8483635002274504,0.5443366518966849,0.5443366518966849,0.43382790732030685,0.5443366518966849,0.8291324176444808,0.4495292516367909,0.5959738049592691,1.3114858030546384,0.34928200599682124,0.7501339903931631,0.376,5.515000804637059,0.482,0.00032901763916015625
Baseline MLE,4,0.000317518781314995,0.0065558214019481855,0.0065558214019481855,0.006696406144555633,0.0065558214019481855,4.904014762327957e-05,0.002710457825820089,0.002933816479656348,0.49839015509540335,0.0028604272307091623,7.241811376098853e-05,0.738,0.0004770324785052669,0.996,0.0054280757904052734
GPT-4o-mini,4,0.08744730308500705,0.1229461795706115,0.1229461795706115,0.09807488859303674,0.1229461795706115,0.012845712623524696,0.04589339057458794,0.04730972463678741,0.5266095091920057,0.06036934910823976,0.018754385708945866,0.738,0.0004770324785052669,0.996,11.55540418624878
