Strategy,Seed,Avg_KL_Divergence,Avg_TVD,Avg_MAE,Avg_Hellinger,Avg_RMSE,Avg_Weighted_KL,Avg_Weighted_Hellinger,Avg_Weighted_TVD,Inf_LogLoss,Inf_Hellinger,Inf_KL,Inf_Accuracy,Dec_Regret,Dec_Acc,JSON_AvgAbsDiff,JSON_AvgTVD,Avg_Time_Sec
Baseline MLE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1112706684328718,0.0,0.0,0.972,0.0,1.0,0.11793749689894459,0.15110741790177273,0.008755922317504883
Random Guess,0,0.6973433480987447,0.42059808814824134,0.3579748769216556,0.3798280766195069,0.3717589388794725,0.7406159735219214,0.39867224963007214,0.4340113370228043,0.8734283314771244,0.44111504547682323,0.764054035686918,0.59,5.8811420201420095,0.59,0.13206757819975756,0.1692115845684394,0.0007898807525634766
Synthetic EM,0,0.38721944884312487,0.3278093641015177,0.2820253501692362,0.31157282998996955,0.291504992132779,0.4299196705842254,0.3403225858323702,0.35202658216770216,0.613609852726218,0.43639984851375985,0.5161304134287191,0.876,5.546685365889332,0.552,0.014148879012765722,0.018128251235106085,1.2130358219146729
Constraint Optimization,0,0.3439790310512114,0.2943409501730601,0.26032463392946753,0.28484725552054846,0.26695217346304234,0.38099513373434646,0.30947215394126587,0.31360316494217894,0.6931471805599454,0.4687254076141304,0.5928770880834665,0.862,11.80665831248086,0.11,0.010685464378619376,0.013690751235106076,0.00040602684020996094
MCMC Optimization,0,0.7554797113613807,0.4709792131621894,0.41009773533239485,0.4321553295130987,0.42221516545089244,0.6867450896227051,0.42551215302012285,0.45509174708053307,0.6335086094472142,0.390919689313879,0.5214650237341284,0.646,4.92258194458556,0.634,0.1665879034030096,0.21344075123510606,7.702147006988525
Copula Optimization,0,0.34809881873491727,0.2984795913127445,0.2615041361174176,0.2878731727324569,0.2682682346686551,0.387185466915587,0.3161165483524843,0.3221122618494638,0.6863253501378846,0.4651370856318205,0.5914327082320816,0.636,4.867639673224556,0.62,0.014409041614391745,0.018461584568439424,27.332115173339844
LLM Baseline,0,0.3576894666152766,0.3124327934148294,0.2687601171960844,0.298632172850752,0.2767637934018575,0.3840045774859427,0.3226885161627551,0.3327088952577339,0.6912000011409362,0.4658625765333402,0.5844458495965402,0.532,8.881485936691359,0.322,0.05707063318235622,0.07312174876489391,33.52902698516846
Baseline MLE,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10780159546392981,0.0,0.0,0.964,0.0,1.0,0.12671798470382262,0.16235741790177272,0.009896993637084961
Random Guess,1,1.064217819196261,0.40536951287100637,0.34556425156019654,0.3958687289886389,0.36036996616761635,1.0060108092900935,0.38028331250949715,0.373133966764895,0.7594100527971487,0.42309944037342634,0.662138128543052,0.468,7.202569172979491,0.456,0.17227388521487658,0.22072591543156056,0.0003788471221923828
Synthetic EM,1,0.3832880222352874,0.320985966825746,0.2761239609804075,0.3057124973598052,0.28483594861698475,0.43075216342140116,0.3366362170967556,0.34782952355166047,0.648990857754184,0.4430046669090791,0.5440343811462289,0.84,5.7088112055885905,0.542,0.030046242938453805,0.03849674876489394,1.1742069721221924
