Strategy,Seed,Avg_KL_Divergence,Avg_TVD,Avg_MAE,Avg_Hellinger,Avg_RMSE,Avg_Weighted_KL,Avg_Weighted_Hellinger,Avg_Weighted_TVD,Inf_LogLoss,Inf_Hellinger,Inf_KL,Inf_Accuracy,Dec_Regret,Dec_Acc,JSON_AvgAbsDiff,JSON_AvgTVD,Avg_Time_Sec
Baseline MLE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2889303985024736,0.0,0.0,0.878,0.0,1.0,0.15705119047619048,0.22903298611111111,0.007004976272583008
Random Guess,0,0.6566882871936125,0.3980559820448527,0.296038668754425,0.38739125704967237,0.31930265139060193,0.733424480270791,0.3703094206093853,0.36851415060156106,0.5666178091373749,0.2907277491041861,0.29984627298011274,0.85,0.7799354181874091,0.906,0.14167976190476192,0.20661631944444445,0.0003399848937988281
Synthetic EM,0,0.5155999127550467,0.3077954205844757,0.21870788969515415,0.2974227335570833,0.23395938877014447,0.2896268692361242,0.23698772214623454,0.23257157396210518,0.4394068459846958,0.17540133720113674,0.1560720756519882,0.832,0.7931904922089507,0.838,0.01474404761904762,0.021501736111111114,0.9120988845825195
Constraint Optimization,0,0.5173861959175217,0.4160626137095783,0.32578371485183055,0.39107700597109946,0.3409860696676401,0.5591422777929431,0.4127283216772269,0.43867521367521367,0.8439802007761825,0.4400085891606199,0.5586705763129696,0.674,11.300898589074045,0.082,0.10722261904761905,0.15636631944444446,0.003565073013305664
MCMC Optimization,0,0.880572572547688,0.43932342701567617,0.3260374168130154,0.4254382797246668,0.3530720319052905,0.9784550281909484,0.4081150540786178,0.39978274204113656,0.5563866548848517,0.2899252534735061,0.28170146155471576,0.848,0.6476609725585647,0.906,0.21320357142857138,0.31092187499999996,14.25142502784729
Copula Optimization,0,1.1787538577099423,0.2991513916569594,0.21354760925534108,0.29308054780025244,0.22857787528207635,0.34762227174484006,0.236920764002191,0.23307388605146598,0.524487198718081,0.1722835298704887,0.2398804433381785,0.838,0.2936007104884509,0.906,0.016458333333333335,0.024001736111111116,32.513542890548706
LLM Baseline,0,0.33124945504102216,0.27010951247427534,0.18738138754928904,0.2693775532670721,0.20372775601222473,0.27552025890677206,0.23107862841415508,0.22314943910256413,0.45133340263130434,0.19623788176826856,0.16443859287579693,0.66,0.7931904922089507,0.838,0.023389285714285706,0.03410937499999999,22.39158320426941
Baseline MLE,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20856604293786077,0.0,0.0,0.924,0.0,1.0,0.15489404761904763,0.2258871527777778,0.00706791877746582
Random Guess,1,0.878750322276509,0.45343796253737845,0.34428186692754764,0.4327241713722213,0.37330570830926046,0.9337461173045919,0.4655523821518576,0.4940905746301741,1.6280990981969417,0.61109804305161,1.4125179010496312,0.148,11.023464236176709,0.142,0.18204166666666668,0.26547743055555556,0.0003535747528076172
Synthetic EM,1,0.48499372610716,0.29878874024733953,0.2130837697712919,0.2923771132756369,0.22784710836619768,0.2820629423655978,0.23324415160113285,0.22357698596398423,0.42360093928056497,0.18924709999222947,0.19830131447230276,0.836,0.9677314087622083,0.858,0.012398809523809525,0.018081597222222225,0.8980097770690918
Constraint Optimization,1,0.5173861959175217,0.4160626137095783,0.32578371485183055,0.39107700597109946,0.3409860696676401,0.5591422777929431,0.4127283216772269,0.43867521367521367,0.8147867129923947,0.46260521286807776,0.589620581414694,0.714,11.631135583187392,0.096,0.10686071428571428,0.15583854166666664,0.002238035202026367
MCMC Optimization,1,0.8303013043675616,0.4479242032232737,0.3460903307494055,0.42672677246394797,0.37390880698386114,1.2326891752043676,0.4914237443244103,0.5290951595738276,1.7066391803813108,0.578148884348112,1.4896928313252444,0.338,8.212965925721445,0.384,0.23042261904761904,0.3360329861111111,13.940205097198486
Copula Optimization,1,0.5368557831641027,0.32062556127938713,0.22875275603585526,0.30564363029310815,0.24346832961661558,0.3708649314852858,0.2606776084269779,0.26818692213988693,0.4560322613796617,0.17980509647724283,0.23108819529448915,0.722,2.608314523977031,0.732,0.016939285714285716,0.024703125000000003,31.09029793739319
LLM Baseline,1,0.36832849249529637,0.28441906384111837,0.2054607801859733,0.2819029142088628,0.2218026931672546,0.22686956285696835,0.2182911650905468,0.2100897435897436,0.41800149657671654,0.19190562177335335,0.18312649905034295,0.698,0.9677314087622083,0.858,0.04855595238095239,0.07081076388888888,25.740192890167236
Baseline MLE,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2808949074404246,0.0,0.0,0.886,0.0,1.0,0.15901547619047618,0.23189756944444442,0.007229328155517578
Random Guess,2,0.7124663523390175,0.47645038199277134,0.370820991306482,0.4487442729786436,0.39976242499350045,0.8069350008490895,0.4781356191102329,0.5176200707237144,1.3076413243000662,0.5708262218176147,1.0542930807090907,0.104,11.330768990335338,0.054,0.1611654761904762,0.2350329861111111,0.00034809112548828125
Synthetic EM,2,0.49218243796794275,0.2983405683843772,0.21079869714893645,0.2885675032846396,0.22557305845721756,0.29372929512625034,0.2271939695810232,0.22376891032792004,0.4042171604319274,0.16319329746038277,0.1481975003249297,0.856,0.6935203600918861,0.87,0.01588690476190476,0.023168402777777774,0.9042599201202393
Constraint Optimization,2,0.5173861959175217,0.4160626137095783,0.32578371485183055,0.39107700597109946,0.3409860696676401,0.5591422777929431,0.4127283216772269,0.43867521367521367,0.8350599683978028,0.4522704763435571,0.5784808937073412,0.698,11.66791582405112,0.064,0.10844166666666667,0.15814409722222225,0.0021080970764160156
MCMC Optimization,2,0.8385199683583371,0.4771541607685602,0.38928554827256573,0.4309562042595629,0.4053973633471788,1.0143316933958861,0.4893448706698485,0.5420825078581912,1.4462573425842238,0.506161641614579,1.1980343914179001,0.388,7.49621578750703,0.356,0.178175,0.25983854166666664,14.010712146759033
Copula Optimization,2,0.5395236469964664,0.3212506604156475,0.2265462747844185,0.30750422227724783,0.24245834787521195,0.333533856939541,0.25888727897811564,0.25949128263878457,0.4681791854282434,0.20451493722844316,0.21139788263990464,0.688,3.084268320167603,0.698,0.014584523809523806,0.021269097222222217,30.921591758728027
LLM Baseline,2,0.32680399143840644,0.27340645217406834,0.19171352393645255,0.2749194683533823,0.2073714219627694,0.27397412181471914,0.23360203400084698,0.22474358974358974,0.408775453798461,0.19338278545567023,0.15899474111976958,0.698,0.6935203600918861,0.87,0.02594166666666667,0.037831597222222214,33.03406000137329
Baseline MLE,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2654124297372563,0.0,0.0,0.89,0.0,1.0,0.15575833333333333,0.22714756944444447,0.00746607780456543
Random Guess,3,0.6908656039503063,0.4479462421536063,0.35748586646378516,0.4159467379507143,0.3785314035400166,0.8348463103289454,0.47911909168132166,0.5336384215356453,1.3377733107609855,0.5668267642475255,1.08943475088218,0.152,10.704776716775864,0.142,0.19499404761904762,0.2843663194444444,0.00033402442932128906
Synthetic EM,3,0.5191433098642844,0.3102135148108579,0.21962711017215283,0.3008949699564862,0.23477220054601908,0.3207695754242587,0.23857517741511844,0.23217980246449454,0.4511832011727414,0.18604747013592918,0.18299530543782538,0.822,0.9458558411630977,0.852,0.016536904761904763,0.02411631944444445,0.9180951118469238
