Strategy,Seed,Avg_KL_Divergence,Avg_TVD,Avg_MAE,Avg_Hellinger,Avg_RMSE,Avg_Weighted_KL,Avg_Weighted_Hellinger,Avg_Weighted_TVD,Inf_LogLoss,Inf_Hellinger,Inf_KL,Inf_Accuracy,Dec_Regret,Dec_Acc,JSON_AvgAbsDiff,JSON_AvgTVD,Avg_Time_Sec
Baseline MLE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5190695961844806,0.0,0.0,0.782,0.0,1.0,0.0517828955424165,0.061851791897886366,0.009611129760742188
Random Guess,0,0.6149734190019813,0.4328043233783209,0.3624374051239383,0.3687677955255971,0.38042552870322,0.49005824013964416,0.3334388392814923,0.38666127568592235,0.9974154503475866,0.3302351791388231,0.48348752549706836,0.384,6.088636757630187,0.276,0.34674951474823834,0.41417303150484025,0.00041484832763671875
Synthetic EM,0,0.3403227309298943,0.2529615223475489,0.20183098320501933,0.2164208260917918,0.2126619920476019,0.11052189169706539,0.11712767106437857,0.1356955298061223,0.7836599024402962,0.24662797661789307,0.2895775680799589,0.714,3.6538565287220583,0.728,0.05416725840109294,0.06469978086797212,4.3390052318573
Constraint Optimization,0,0.37295816622083455,0.349510978125131,0.29480608772601163,0.30561299733708025,0.30460899151268955,0.36293186232134744,0.30823369554033553,0.3488911810211449,0.9015562461275417,0.34057865345869026,0.4158180430668217,0.65,7.847096222519879,0.128,0.24980377831412978,0.29837673520854396,0.0009162425994873047
MCMC Optimization,0,0.6212073570225137,0.3896227381862195,0.3158442834257589,0.35065134099501466,0.334130611504717,0.45826130322378283,0.32047169483903515,0.34361110521194904,1.0609809970248452,0.35965785623970886,0.5741917676073611,0.352,6.191773430551301,0.276,0.2586356087207111,0.3089258659719604,10.608949184417725
Copula Optimization,0,1.961152392527373,0.27322733072786265,0.22104527847193392,0.2509218739223502,0.22853302371659973,0.26218677214427283,0.12780144946409525,0.1414044597587105,0.6253286080489329,0.13079988250148944,0.13350315705492694,0.684,0.8453941293874202,0.812,0.013004965765854705,0.015533709109215341,34.276695013046265
LLM Baseline,0,0.23062576899923043,0.21232532937991105,0.1661211275113723,0.18799450972282034,0.1738642701229741,0.08711148023038465,0.1167722424840572,0.12715034203469938,0.6007023371911314,0.14405664162790452,0.11377236185209949,0.756,0.029241767814560792,0.998,0.037733647936397344,0.04507074614625238,27.746075868606567
Baseline MLE,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46980197523373535,0.0,0.0,0.804,0.0,1.0,0.05671312810055603,0.06774068078677525,0.009225845336914062
Random Guess,1,0.940088532809646,0.4346126815192702,0.37201465499146547,0.388819284029906,0.3914585949640502,0.7981067156303733,0.4132679706911201,0.4665900534459782,2.1179256218284808,0.5274076855048484,1.6466062114484927,0.188,8.690371924562644,0.284,0.501400677538936,0.5988952537270624,0.0004470348358154297
Synthetic EM,1,2.5558023081593233,0.283487652528364,0.22711103571571822,0.25735592672975716,0.23611086245032945,0.2808609487048256,0.12769023732534865,0.1448732783360982,0.7670404858502747,0.2651707531416398,0.3174854520934686,0.676,4.086940494008334,0.678,0.06035462190738107,0.07209024283381629,4.110205888748169
Constraint Optimization,1,0.37295816622083455,0.349510978125131,0.29480608772601163,0.30561299733708025,0.30460899151268955,0.36293186232134744,0.30823369554033553,0.3488911810211449,0.8910141533167295,0.35145497506353396,0.4355384562328463,0.656,8.077274882466696,0.14,0.2447650186242073,0.29235821669002543,0.0009129047393798828
MCMC Optimization,1,0.7283454358880812,0.43839719519924625,0.3789561481839219,0.3715321196107023,0.39426122743777214,0.9150018615382736,0.3942053246512619,0.460091860308459,2.2210934856131006,0.5373719633219729,1.7759023512498107,0.234,8.382199104498131,0.298,0.3358968015699438,0.4012100685418773,10.543694972991943
Copula Optimization,1,2.008519942685034,0.2888494762503698,0.2379045973271229,0.2677926529859322,0.2473578644896227,0.26949997533350123,0.13542431391939946,0.14903356615007013,0.6286639956446282,0.1507002730252318,0.1613067803433213,0.612,1.5526430443446948,0.668,0.010299183800948769,0.012301802873355475,34.20040988922119
