Strategy,Seed,Avg_KL_Divergence,Avg_TVD,Avg_MAE,Avg_Hellinger,Avg_RMSE,Avg_Weighted_KL,Avg_Weighted_Hellinger,Avg_Weighted_TVD,Inf_LogLoss,Inf_Hellinger,Inf_KL,Inf_Accuracy,Dec_Regret,Dec_Acc,JSON_AvgAbsDiff,JSON_AvgTVD,Avg_Time_Sec
Baseline MLE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29636739372703036,0.0,0.0,0.894,0.0,1.0,0.15705119047619048,0.22903298611111111,0.007325887680053711
Random Guess,0,0.6566882871936125,0.3980559820448527,0.296038668754425,0.38739125704967237,0.31930265139060193,0.733424480270791,0.3703094206093853,0.36851415060156106,0.5620387142038032,0.2881229416188955,0.28837380272404906,0.854,0.8141544085578767,0.908,0.14167976190476192,0.20661631944444445,0.001180887222290039
Synthetic EM,0,0.5503598068192046,0.30490157624018455,0.2171797942545917,0.2972746118089777,0.23296880339018616,0.3161300974845565,0.24143475365060366,0.2341987928487943,0.4589472558591694,0.19143100336918525,0.19506754051072217,0.824,0.4227787510017437,0.924,0.013748809523809517,0.020050347222222212,1.010045051574707
Constraint Optimization,0,0.5173861959175217,0.4160626137095783,0.32578371485183055,0.39107700597109946,0.3409860696676401,0.5591422777929431,0.4127283216772269,0.43867521367521367,0.8358708986140191,0.45163176872081534,0.5770030085377508,0.7,11.588914524330715,0.08,0.10722261904761905,0.15636631944444446,0.0021741390228271484
MCMC Optimization,0,0.6259941300433206,0.4082382376144556,0.31471969925995463,0.3839965688694052,0.3319603750858281,0.5042597654466795,0.3738564971953943,0.37775751544262953,0.7653948817249022,0.4033021391119863,0.48629289073648513,0.542,4.87354815508363,0.556,0.122175,0.178171875,12.99825406074524
Copula Optimization,0,0.6129099534806857,0.31929681922369724,0.2254626978683539,0.3070359768783742,0.24566835835574283,0.39298913015665193,0.26094649835524913,0.26125264449260505,0.48129707003651395,0.19600014973280447,0.22433857022442422,0.844,2.935312762984399,0.688,0.012286904761904756,0.01791840277777777,31.304893970489502
LLM Baseline,0,0.3716800659021428,0.29422874429224627,0.21507204793868845,0.2882109021810803,0.23056085955512357,0.3091113966148114,0.24892426070342463,0.24732972756410257,0.4530628189018547,0.19973778331990708,0.17369433611748228,0.674,0.7811097113539931,0.864,0.06383214285714285,0.09308854166666668,25.139249801635742
Baseline MLE,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24077925020224533,0.0,0.0,0.896,0.0,1.0,0.15489404761904763,0.2258871527777778,0.00799703598022461
Random Guess,1,0.878750322276509,0.45343796253737845,0.34428186692754764,0.4327241713722213,0.37330570830926046,0.9337461173045919,0.4655523821518576,0.4940905746301741,1.6343918967781048,0.5933038418033147,1.3361562174693566,0.142,10.594712597129321,0.158,0.18204166666666668,0.26547743055555556,0.00036406517028808594
Synthetic EM,1,0.5222719331004295,0.3028419627998087,0.21429315111391523,0.29466896876317195,0.2299260328185094,0.3019590974957935,0.24066278974391683,0.23086792809568935,0.4782413272624486,0.20793386533876146,0.22439408680854037,0.826,0.7280986876759771,0.894,0.013579761904761904,0.019803819444444443,0.922001838684082
Constraint Optimization,1,0.5173861959175217,0.4160626137095783,0.32578371485183055,0.39107700597109946,0.3409860696676401,0.5591422777929431,0.4127283216772269,0.43867521367521367,0.8253288058032069,0.44919283441478397,0.5686303968104476,0.694,11.146697182254238,0.116,0.10686071428571428,0.15583854166666664,0.0023491382598876953
MCMC Optimization,1,1.008751746711251,0.5243227062954311,0.4070171288880496,0.47603661869177066,0.4297777827154974,1.4993290891734181,0.5706516118107078,0.6345337077198542,1.874602241298069,0.6295417772163933,1.6019214615786244,0.162,10.447298165527357,0.226,0.16983214285714285,0.24767187499999999,12.890709400177002
Copula Optimization,1,0.5689571953654194,0.3326762108048044,0.23448098188175243,0.32189833608067125,0.25208011623804316,0.3842981898177145,0.2778588597166629,0.27599633050001127,0.4939001441450487,0.2079376143855019,0.23640335598296727,0.826,2.644438188340714,0.714,0.015755952380952384,0.022977430555555567,31.53139305114746
LLM Baseline,1,0.33000280666351456,0.2744739987579193,0.19634387245267065,0.2816232211380677,0.21173511307698176,0.2863373694363495,0.23837321588530014,0.23011177884615386,0.4467354516247441,0.20958448670013816,0.19862492364046244,0.68,1.047720097061097,0.826,0.04307023809523809,0.06281076388888888,26.46928596496582
Baseline MLE,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23319623570449138,0.0,0.0,0.902,0.0,1.0,0.15901547619047618,0.23189756944444442,0.007857322692871094
Random Guess,2,0.7124663523390175,0.47645038199277134,0.370820991306482,0.4487442729786436,0.39976242499350045,0.8069350008490895,0.4781356191102329,0.5176200707237144,1.2863467733289813,0.5749438618229734,1.0576969482274494,0.118,11.23424711151282,0.074,0.1611654761904762,0.2350329861111111,0.000370025634765625
Synthetic EM,2,0.5205229847464641,0.2985014847652093,0.21059564564615618,0.28979785858079704,0.22738598587917452,0.29630411035041626,0.22267769355980702,0.22098705839800728,0.3928980726839192,0.16176978338615794,0.16039871413757584,0.854,0.7776628796207931,0.868,0.017234523809523804,0.025133680555555548,0.9264230728149414
Constraint Optimization,2,0.5173861959175217,0.4160626137095783,0.32578371485183055,0.39107700597109946,0.3409860696676401,0.5591422777929431,0.4127283216772269,0.43867521367521367,0.8180304338572599,0.46052768979852715,0.5874829088140352,0.728,11.762664843911171,0.074,0.10844166666666667,0.15814409722222225,0.0019042491912841797
MCMC Optimization,2,0.8059647261385791,0.47386620748534636,0.3516820815784231,0.43928076522655124,0.3753269517077329,0.7750781959490162,0.4464592843602339,0.47033583440314325,1.0088528047633294,0.4835757600108029,0.7739709757527026,0.402,7.2818656797854855,0.368,0.16299404761904762,0.2376996527777778,13.02117133140564
Copula Optimization,2,0.6036194522138402,0.3278956788030644,0.23294397216017332,0.3154892261716964,0.24920655059013824,0.415983632541973,0.2699148486713158,0.276174683975994,0.5733022339583681,0.22109316779534718,0.344811548236791,0.724,2.8647894869941,0.67,0.016229761904761903,0.023668402777777774,31.181461095809937
LLM Baseline,2,0.26787259748569114,0.2546586744164698,0.18652682278340893,0.26600325296008853,0.20056507333136647,0.18621144559063366,0.22182861179555532,0.19606089743589747,0.39346357576381635,0.2061074869478517,0.16634193653427798,0.716,0.7776628796207931,0.868,0.09907023809523809,0.14447743055555556,30.873677968978882
Baseline MLE,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2623831989319963,0.0,0.0,0.892,0.0,1.0,0.15575833333333333,0.22714756944444447,0.008073091506958008
Random Guess,3,0.6908656039503063,0.4479462421536063,0.35748586646378516,0.4159467379507143,0.3785314035400166,0.8348463103289454,0.47911909168132166,0.5336384215356453,1.335243277631887,0.5639875738382413,1.081532003079958,0.16,10.643764006203067,0.15,0.19499404761904762,0.2843663194444444,0.00038695335388183594
Synthetic EM,3,0.5197896482557857,0.30657241709870225,0.2170626926094183,0.2987052038333178,0.2335736326819735,0.2905702886718531,0.23428903277117144,0.22615066180939788,0.43087113169458224,0.17310885275416893,0.16712706112781614,0.834,0.9140689481441154,0.852,0.012708333333333337,0.018532986111111118,1.01981782913208
Constraint Optimization,3,0.5173861959175217,0.4160626137095783,0.32578371485183055,0.39107700597109946,0.3409860696676401,0.5591422777929431,0.4127283216772269,0.43867521367521367,0.8326271777491538,0.4518822879075099,0.5760877746934754,0.686,11.476838020094233,0.094,0.10623214285714284,0.154921875,0.0018579959869384766
MCMC Optimization,3,0.750836915737179,0.4453337624142612,0.3545954583919496,0.4139488943490706,0.37063557583749207,0.6389752385427655,0.4151299450646106,0.44745419938938635,1.010981150641001,0.46736933076830584,0.7567673524662948,0.31,8.46648237219327,0.36,0.19404166666666667,0.2829774305555556,12.77497124671936
