Strategy,Seed,Avg_KL_Divergence,Avg_TVD,Avg_MAE,Avg_Hellinger,Avg_RMSE,Avg_Weighted_KL,Avg_Weighted_Hellinger,Avg_Weighted_TVD,Inf_LogLoss,Inf_Hellinger,Inf_KL,Inf_Accuracy,Dec_Regret,Dec_Acc,Avg_Time_Sec
Baseline MLE,0,4.9824405899239264e-05,0.0035374914001713737,0.002852927549448481,0.003021395377096349,0.003080075532691939,1.7479493402247465e-05,0.001915646586592869,0.00203419590508985,0.6279786250768342,0.005935324617526947,0.0002866152589067799,0.722,0.0,1.0,0.008433103561401367
Random Guess,0,0.234332733245489,0.29176896653201334,0.24942041864183814,0.22909727436080432,0.25906311468677473,0.2222716952091957,0.22132567004571044,0.27654599362388266,1.038097047555251,0.2901417752048707,0.3969107117653738,0.418,4.090232605651281,0.49,0.0006110668182373047
Synthetic EM,0,0.1637815562247936,0.16353326364662787,0.16111278926582986,0.1356677060797794,0.1621019866554045,0.2413875136895206,0.22661260504969127,0.27567200221518395,0.8662608625962901,0.20351611470552114,0.22912320957116897,0.548,2.178831312721445,0.51,3.8557026386260986
Constraint Optimization,0,0.281887050452434,0.32085432658854507,0.2810623553304148,0.24413238288882208,0.286245939586226,0.23506589798261238,0.2262482077121024,0.28208565496498744,1.0327746961875175,0.3082033204095319,0.3893661215371217,0.356,5.151848458400712,0.258,0.02208399772644043
Iterative Proportional Fitting,0,0.24116930263088343,0.3010266419121161,0.26123467065398576,0.22607062926169763,0.266418254909797,0.4070008350863508,0.30542588757438266,0.3989297819760993,0.9529433373574655,0.21875792889105977,0.24612815052215456,0.508,2.287304404904163,0.61,0.0009379386901855469
MCMC Optimization,0,0.3841102173187594,0.3473186691231432,0.3024038263702772,0.26831711363598854,0.3167563987828011,0.5396812257749187,0.3037826911673034,0.3846295293622322,1.001209586697833,0.2572187698351805,0.3618398147031914,0.424,4.099728207359129,0.436,18.160197973251343
Copula Optimization,0,0.12767919485276646,0.14794508918634633,0.14644076414818033,0.12097418151192607,0.14701866069207967,0.2066079873536769,0.2106414512773973,0.25726850591546235,0.9160141598524595,0.19089714400347393,0.29847111084576466,0.652,0.9930207232524776,0.798,58.53450679779053
Baseline MLE,1,0.00021234544493142706,0.006764273545981221,0.005892568647793678,0.00592805963295152,0.00608775004638058,0.00013049968490658857,0.0039864246269962775,0.004713509156480451,0.6680595205069472,0.006716018491308426,0.0003443406147298971,0.698,0.013012491229271948,0.926,0.005708932876586914
Random Guess,1,2.4763788512028295,0.5408808614446287,0.4640588598322511,0.4644518869008336,0.4850849253829937,0.7184595115403527,0.40583261077501054,0.5320488865874347,1.6610862516035714,0.4183109085317575,1.0242110961126787,0.288,6.50222518064361,0.234,0.0005550384521484375
Synthetic EM,1,0.11755770365630043,0.14115164254132914,0.14023878358879374,0.11490299054683854,0.14047917980828953,0.17705148400913787,0.1976893250416393,0.24009443829042149,0.8244135809605746,0.18706297916916242,0.19797069650956797,0.566,2.136556154099144,0.52,0.31191182136535645
Constraint Optimization,1,0.26602742663212475,0.3150032071997209,0.27521123594159064,0.23875335490715122,0.28039482019740186,0.21825155213123676,0.21719857621340194,0.27110756138549996,1.0465931083462554,0.3137600645524181,0.40348835281649803,0.35,5.339978978679505,0.264,0.020479917526245117
Iterative Proportional Fitting,1,0.2420657111103657,0.3014599752454494,0.2616680039873191,0.2263783156548296,0.2668515882431303,0.4102598083875609,0.3067359886691521,0.4006308652367315,0.9067885804581276,0.2176014198213299,0.25713041241071116,0.548,2.24538400919162,0.63,0.0009520053863525391
MCMC Optimization,1,0.5541625569005246,0.4271004190031468,0.3682128800571796,0.32725184002970337,0.391975703223745,0.5505249434648309,0.2887377369325643,0.3700329552931426,1.2599735175835214,0.32237815590787094,0.6253181651376774,0.358,5.513428255185317,0.328,17.70203971862793
Copula Optimization,1,0.08933856320216534,0.14101823145297113,0.13785588982447047,0.11376771717695666,0.13911730385538712,0.172831104242875,0.20244989689004078,0.2500216594960454,0.7842971490872351,0.13592110670189586,0.11968365314100506,0.662,0.5591810173356981,0.848,59.898783922195435
Baseline MLE,2,0.00016495355310992558,0.006935810851327312,0.005773469222826645,0.005831832304288601,0.005947398339248937,0.00017068663120466685,0.00600697057174801,0.0059810292417611655,0.6009863853707705,0.00569481357305897,0.00020405734544167887,0.75,0.0,1.0,0.005897045135498047
Random Guess,2,0.23401488908156667,0.25399905437048037,0.22874987539636824,0.21100710424497585,0.23184390376544828,0.4205063768159064,0.301025418109588,0.3907196917254871,0.9045818336709995,0.2301751076468266,0.26770967462755857,0.464,3.6661317206617503,0.458,0.0004899501800537109
Synthetic EM,2,0.12846805788860596,0.13486449471383619,0.13361068699970488,0.11172212810920762,0.13377397495326318,0.16182047816870138,0.17543841234135488,0.20806050009281665,0.8016835449220381,0.18017934392475338,0.19047206307685458,0.586,1.8481107746109124,0.536,0.29733896255493164
Constraint Optimization,2,0.3450426829030744,0.3547011017605213,0.314909130502391,0.26919317846305263,0.32009271475820217,0.40883366284012235,0.2861921720077643,0.3658201586494428,1.0577799346182521,0.3145955614467374,0.40781015857375813,0.34,5.129156099713303,0.274,0.03064703941345215
